#{"t_start": 1589058354.668272, "env_id": null}
r,l,t
7,20,416.918354
7,22,417.222396
7,20,417.517967
6,21,417.798993
7,22,418.095167
9,20,418.388532
9,20,418.683763
9,20,418.977753
9,20,419.272402
8,19,419.556527
9,20,419.853459
9,20,420.147571
9,20,420.443325
8,21,420.739041
8,21,421.035593
8,21,421.335645
9,20,421.629094
9,20,421.924532
0,11,422.05928
9,20,422.35774
9,20,422.65907
8,21,422.9555
8,21,423.251097
9,20,423.547432
8,21,423.84407
6,23,424.153729
9,20,424.448905
9,20,424.743147
5,16,424.957451
8,21,425.252287
8,21,425.552147
9,20,425.845488
9,20,426.139324
9,20,426.433022
9,20,426.727587
9,20,427.021376
9,20,427.317122
8,21,427.617262
9,20,427.911123
8,21,428.205529
9,20,428.501558
